 VDF2L   VV  19  0.6128   -1.7774    0.0254    0.1334    0.0000    0.0000    0.20000   1     SS304  ;Lower dome flange cylinder
 VDF1L   VV  19  0.6446   -1.8313    0.0381    0.0254    0.0000    0.0000    0.20000   1     SS304  ;Lower dome flange lip
 VCB1L   VV  19  0.5778   -1.8647    0.1715    0.0413    0.0000    0.0000    0.20000   1     SS304  ;Lower ceramic break upper ring
 VCB2L   VV  19  0.5572   -1.9441    0.1302    0.0667    0.0000    0.0000    0.20000   1     SS304  ;Lower ceramic break lower ring
 VBF2L   VV  19  0.4529   -1.9648    0.0784    0.0254    0.0000    0.0000    0.20000   1     SS304  ;Lower bellows-break mating flange
 VBF1L   VV  20  0.4347   -1.9394    0.0419    0.0254    0.0000    0.0000    0.50000   1    Inconel ;Lower bellows flange
 VDF1L2  VV  20  0.4859   -1.6669    0.1461    0.0254    0.0000    0.0000    0.50000   1    Inconel ;Lower divertor flange
 VDF1L   VV  21  0.3334   -1.6669    0.1588    0.0254    0.0000    0.0000    1.0000    1    Inconel ;Lower divertor flange
 VCS5L   VV  22  0.2695   -1.6272    0.0311    0.0539    0.0000    0.0000    0.5000    1    Inconel ;Lower divertor flange taper
 VCS4L   VV  22  0.2508   -1.4283    0.0064    0.5026    0.0000    0.0000    0.5000    1    Inconel ;Lower CS casing
 VCS3L   VV  23  0.2094   -1.1095    0.0765    0.0627  -60.0000    0.0000    1.0000    1    Inconel ;Lower sleeve region 3
 VCS2L   VV  24  0.1691   -0.8008    0.0040    0.5338    0.0000    0.0000    1.0000    1    Inconel ;CS casing lower segment 1
 VCS1L   VV  25  0.1691   -0.2670    0.0040    0.5339    0.0000    0.0000    1.0000    1    Inconel ;CS casing lower segment 2
 DPIU    DP   1  0.7707    1.6084    0.2887    0.0273  -21.4983    0.0000    0.5000    1    Copper  ;Inner upper divertor plate
 DPOU    DP   1  1.0594    1.4947    0.2887    0.0273  -21.4983    0.0000    0.5000    1    Copper  ;Outer upper divertor plate
 DPOL    DP   2  1.0594   -1.4947    0.2887    0.0273   21.4983    0.0000    0.5000    1    Copper  ;Outer lower divertor plate
 DPIL    DP   2  0.7707   -1.6084    0.2887    0.0273   21.4983    0.0000    0.5000    1    Copper  ;Inner lower divertor plate
 PPSIUU  SP   1  1.1792    1.2810    0.0156    0.1511    0.0000  125.2505    1.0000    1    Copper  ;Inner upper passive plate upper (secondary)
 PPSIUL  SP   2  1.2870    1.1299    0.0156    0.1511    0.0000  125.2505    1.0000    1    Copper  ;Inner upper passive plate lower (secondary)
 PPPOUU  SP   3  1.4039    0.8926    0.0134    0.2263    0.0000  108.2500    1.0000    1    Copper  ;Outer upper passive plate upper (primary)
 PPPOUL  SP   4  1.4785    0.6663    0.0134    0.2263    0.0000  108.2500    1.0000    1    Copper  ;Outer upper passive plate lower (primary)
 PPPOLU  SP   5  1.4785   -0.6663    0.0134    0.2263    0.0000 -108.2500    1.0000    1    Copper  ;Outer lower passive plate upper (primary) 
 PPPOLL  SP   6  1.4039   -0.8926    0.0134    0.2263    0.0000 -108.2500    1.0000    1    Copper  ;Outer lower passive plate lower (primary)
 PPSILL  SP   7  1.2870   -1.1299    0.0156    0.1511    0.0000 -125.2505    1.0000    1    Copper  ;Inner lower passive plate upper (secondary)
 PPSILU  SP   8  1.1792   -1.2810    0.0156    0.1511    0.0000 -125.2505    1.0000    1    Copper  ;Inner lower passive plate lower (secondary)
